         20948676 function calls (19986510 primitive calls) in 125.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      584    0.006    0.000    0.089    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\inspect.py:932(getsourcefile)
      584    0.016    0.000    0.087    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\adam.py:567(<listcomp>)
     1752    0.086    0.000    0.086    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
     2416    0.082    0.000    0.082    0.000 {built-in method numpy.array}
   304512    0.064    0.000    0.082    0.000 {method 'add' of 'set' objects}
   727180    0.078    0.000    0.078    0.000 {method 'append' of 'list' objects}
      584    0.013    0.000    0.076    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\adam.py:568(<listcomp>)
     4736    0.008    0.000    0.075    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_ops.py:591(__call__)
    10704    0.039    0.000    0.069    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\container.py:281(_get_abs_string_index)
      584    0.001    0.000    0.068    0.000 <frozen genericpath>:16(exists)
     4736    0.067    0.000    0.067    0.000 {built-in method torch._ops.profiler.}
      584    0.066    0.000    0.066    0.000 {built-in method nt.stat}
    35680    0.066    0.000    0.066    0.000 {built-in method torch._C._is_tracing}
78496/74928    0.061    0.000    0.065    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:417(__setattr__)
     1168    0.063    0.000    0.063    0.000 {built-in method torch._foreach_add_}
      600    0.053    0.000    0.063    0.000 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\minigrid\environment.py:306(_update_seen_cells)
